ลำดับ,ชื่อผู้ประกอบการ,ทุนจดทะเบียน,จังหวัด,อำเภอ
1,กรุงเทพมหกิจ,"15,000,000",ระนอง,เมืองระนอง
2,กรุงไทยอาหาร,"400,000,000",กรุงเทพมหานคร,เขตจอมทอง
3,ขันติชัยปลาป่น,"1,000,000",สมุทรสงคราม,เมืองสมุทรสงคราม
4,คลองใหญ่ปลาป่น,"5,000,000",ตราด,คลองใหญ่
5,คลาสสิคเพ็ท,"4,000,000",สมุทรปราการ,เมืองสมุทรปราการ
6,คอร์น ทรานสปอร์ต (2018),"1,000,000",กาญจนบุรี,ท่ามะกา
7,คิงส์สเตลล่า แลบบอราทอรี่,"50,000,000",สมุทรปราการ,บางบ่อ
8,ชัยขจรฟาร์ม,"1,000,000",นครพนม,เมืองนครพนม
9,ชัยภูมิฟาร์มผลิตภัณฑ์การเกษตร,"40,000,000",ชัยภูมิ,เมืองชัยภูมิ
10,ซินซุย (ประเทศไทย),"2,000,000",ปทุมธานี,ลำลูกกา
11,ซี.เอ็ม.พี. กรุ๊ป 39,"1,000,000",กรุงเทพมหานคร,เขตลาดกระบัง
12,ซีเซียร์ เพ็ทเวิลด์,"1,000,000",ชลบุรี,บางละมุง
13,ณัฐรุ่งโรจน์ ฟีดมิลล์,"2,000,000",เชียงใหม่,สันป่าตอง
14,ดับบลิว แอนด์ เอ โกรว์อิ้ง,"300,000",ลพบุรี,เมืองลพบุรี
15,ดี.เค. การเกษตร (2019),"1,000,000",ราชบุรี,โพธาราม
16,ตราด กรีน วิชั่นส์,"1,000,000",ตราด,เมืองตราด
17,ถั่วทอง 2020,"5,000,000",นครปฐม,เมืองนครปฐม
18,ทวิภัทร โฮล์ดิ้ง,"1,000,000",กรุงเทพมหานคร,เขตตลิ่งชัน
19,ทวีลาภปลาป่น,"100,000",กรุงเทพมหานคร,เขตคันนายาว
20,ทีซีเอฟ,"120,000,000",สงขลา,หาดใหญ่
21,ธนโชค ออยล์ ไลท์,"50,000,000",สมุทรสาคร,กระทุ่มแบน
22,ธันเดอร์ กูดส์,"1,000,000",นนทบุรี,ปากเกร็ด
23,นาวาร์ช เพ็ท โปรดักส์ (ประเทศไทย),"1,000,000",กรุงเทพมหานคร,เขตบางบอน
24,นำโชค 888,"5,000,000",ลพบุรี,พัฒนานิคม
25,นิวทริชั่น เอ็กซ์พี,"300,000",ราชบุรี,บางแพ
26,นิวเวิลด์ แอดวานซ์ ไบโอเทค,"2,000,000",ปราจีนบุรี,เมืองปราจีนบุรี
27,นูทริกซ์,"110,000,000",กรุงเทพมหานคร,เขตมีนบุรี
28,บลู เบอร์ลิน,"1,000,000",นนทบุรี,บางกรวย
29,บลูฟาโล่,"200,000,000",นครปฐม,เมืองนครปฐม
30,บัวผัน อาหารสัตว์,"1,000,000",สระบุรี,มวกเหล็ก
31,บางซื่อพาณิชย์ 2019,"3,000,000",กรุงเทพมหานคร,เขตบางซื่อ
32,บานาปัตตานี,"47,000,000",ปัตตานี,เมืองปัตตานี
33,บ้านไผ่ราชาอาหารสัตว์,"1,000,000",ขอนแก่น,บ้านไผ่
34,บีเคเค โปรดักชั่น,"1,000,000",กรุงเทพมหานคร,เขตวังทองหลาง
35,ปลาทองอุตสาหกรรม,"50,000,000",ระนอง,เมืองระนอง
36,ป๋ออ้ายเฟิง ไบโอเทคโนโลยี (ไทยแลนด์),"160,000,000",ระยอง,ปลวกแดง
37,ปัตตานีปลาป่น(1988),"42,000,000",ปัตตานี,เมืองปัตตานี
38,ปัทมาอาหารสัตว์,"1,000,000",ลพบุรี,โคกเจริญ
39,ปาป๊า คิง เพ็ท,"2,000,000",กรุงเทพมหานคร,เขตหนองจอก
40,ผลิตภัณฑ์ปลากระป๋องสยาม,"100,000,000",สตูล,เมืองสตูล
41,พงษ์จิวานิชฟาร์ม,"1,000,000",ฉะเชิงเทรา,บางปะกง
42,พร้อม อินดัสเตรียล,"1,000,000",กรุงเทพมหานคร,เขตลาดกระบัง
43,พรอสเพอริตี้ 2017,"1,000,000",สุรินทร์,ชุมพลบุรี
44,พรีเมียร์ฟีด,"20,000,000",มุกดาหาร,เมืองมุกดาหาร
45,พี เจ สแน็คด็อก,"1,000,000",กรุงเทพมหานคร,เขตธนบุรี
46,พี.เอส.เค ซัพพลาย 2001,"1,000,000",ชลบุรี,เมืองชลบุรี
47,พีอาร์ดี อินเตอร์เนชั่นแนล,"1,000,000",ขอนแก่น,เมืองขอนแก่น
48,พีเคเค อาหาร,"1,000,000",ร้อยเอ็ด,เมืองร้อยเอ็ด
49,ฟาร์มเมชฟีดมิล,"200,000,000",เพชรบุรี,ชะอำ
50,ฟีโนไซน์,"10,000,000",กรุงเทพมหานคร,เขตประเวศ
51,ภูมิศีล โภคภัณฑ์,"1,000,000",ขอนแก่น,เมืองขอนแก่น
52,มณี เกษตรไทย,"100,000",ราชบุรี,บ้านโป่ง
53,มาตา คอร์เปอเรชั่น,"1,000,000",นนทบุรี,บางใหญ่
54,ยิ่งยืนโภคภัณฑ์,"1,000,000",มหาสารคาม,เมืองมหาสารคาม
55,ยีสต์ มาสเตอร์,"1,000,000",ฉะเชิงเทรา,พนมสารคาม
56,ยีสต์มาสเตอร์ ฟาร์ม,"1,000,000",ฉะเชิงเทรา,พนมสารคาม
57,ยูไนเต็ดการตลาดสากล,"28,000,000",กรุงเทพมหานคร,เขตพญาไท
58,รวมมิตรโภคภัณฑ์อุตสาหกรรม,"3,000,000",สมุทรสาคร,เมืองสมุทรสาคร
59,รวมใจสามัคคีปลาป่น,"12,000,000",ประจวบคีรีขันธ์,บางสะพาน
60,ระนองผลิตภัณฑ์อาหาร,"10,000,000",ระนอง,เมืองระนอง
61,รักหมา อาหารสัตว์,"3,000,000",สมุทรสงคราม,เมืองสมุทรสงคราม
62,รามิคาล สยามอุตสาหกรรม,"4,800,000",สมุทรปราการ,บางพลี
63,รุ่งทวีทรัพย์พาณิชย์,"1,000,000",สุโขทัย,คีรีมาศ
64,ลพบุรี เอนเนอจี,"1,000,000",ลพบุรี,ท่าหลวง
65,ล่อฟ้าพรีเมี่ยม โปรดักส์,"1,000,000",กาฬสินธุ์,กุฉินารายณ์
66,ลัคกี้ฟาร์มอาหารสัตว์,"5,000,000",นครปฐม,เมืองนครปฐม
67,ลานนา กรีน ฟีด,"1,000,000",ลำพูน,เมืองลำพูน
68,ลูน่า บี.เค.คอเปอร์เรชั่น,"1,000,000",นครราชสีมา,สีคิ้ว
69,วัฒนาปลาป่นขนอม,"12,000,000",นครศรีธรรมราช,ขนอม
70,วัน-บีเอส 2019,"1,000,000",เชียงใหม่,สันกำแพง
71,วาริส เพ็ทโตะ,"1,000,000",ปทุมธานี,เมืองปทุมธานี
72,วิสดอม ฟีดมิลล์,"1,000,000",สระบุรี,มวกเหล็ก
73,วี มาร์ค ฟาร์ม,"1,000,000",นนทบุรี,เมืองนนทบุรี
74,ศรีสุวรรณอาหารสัตว์,"5,000,000",สระแก้ว,เมืองสระแก้ว
75,ศักดิ์อาหารสัตว์(ประเทศไทย),"2,000,000",สุรินทร์,เมืองสุรินทร์
76,ศิริชัยอุตสาหกรรม,"6,500,000",สมุทรสาคร,เมืองสมุทรสาคร
77,ส.หนองแหนฟาร์ม,"1,000,000",ฉะเชิงเทรา,พนมสารคาม
78,สมิหลาปลาป่น,"120,000,000",สงขลา,จะนะ
79,สมู๊ท สมาร์ท สตาร์ท อัพ,"1,000,000",สระบุรี,มวกเหล็ก
80,สยาม พรีเชียส ฟีดส์,"40,000,000",สมุทรสาคร,เมืองสมุทรสาคร
81,สยาม เพ็ท โปรดักส์,"2,000,000",สมุทรปราการ,เมืองสมุทรปราการ
82,สยามบูรพาเจริญอุตสาหกรรม,"2,000,000",ตราด,แหลมงอบ
83,สยามอินเตอร์แปซิฟิกฟูด,"3,000,000",พัทลุง,ควนขนุน
84,สยามโปรตีน,"5,000,000",กรุงเทพมหานคร,เขตสวนหลวง
85,สวัสดีวันจันทร์,"1,000,000",กรุงเทพมหานคร,เขตจอมทอง
86,สหปลาป่นบางสะพาน (1990),"10,000,000",ประจวบคีรีขันธ์,บางสะพาน
87,สหมิตรปลาป่น,"5,000,000",สมุทรสาคร,เมืองสมุทรสาคร
88,สหะการปลาป่นปากน้ำชุมพร,"3,000,000",ชุมพร,เมืองชุมพร
89,สุขเรืองแก้วปลาป่น (2004),"25,000,000",ระนอง,เมืองระนอง
90,สุดรักฟาร์ม,"1,000,000",นนทบุรี,บางบัวทอง
91,หนองบัว อโกร ฟอร์ ไลฟ์,"1,000,000",ราชบุรี,เมืองราชบุรี
92,หัวกวง อาหารสัตว์,"5,000,000",อ่างทอง,แสวงหา
93,หัวหินซีฟู้ดส์,"25,000,000",ตรัง,กันตัง
94,อนวรรตน์,"1,000,000",เชียงใหม่,สันกำแพง
95,อนิมัล โปรเทคเตอร์,"4,557,500",ฉะเชิงเทรา,เมืองฉะเชิงเทรา
96,อภิทุนคอร์ปอเรชั่น,"80,000,000",กรุงเทพมหานคร,เขตสาทร
97,อภิทุนปลาป่น,"15,000,000",สมุทรสาคร,เมืองสมุทรสาคร
98,อะควา ฟีดดิ้ง ซับพลาย,"1,000,000",กรุงเทพมหานคร,เขตคลองสามวา
99,อะควาติก ดีล,"1,000,000",กรุงเทพมหานคร,เขตคลองสามวา
100,อาหารเสริม,"1,000,000",กรุงเทพมหานคร,เขตจตุจักร
101,อิทธิชัยเลิศทวี,"1,000,000",กาญจนบุรี,เลาขวัญ
102,อิทธิตระการ,"1,000,000",ลพบุรี,หนองม่วง
103,"	อินฟินิท เพ็ท โซลูชั่น (ประเทศไทย)	","1,000,000",กรุงเทพมหานคร,เขตทุ่งครุ
104,อินเตอร์ คอนเซป,"1,000,000",สมุทรปราการ,เมืองสมุทรปราการ
105,อินเตอร์เนชั่นแนล เพ็ท ฟู้ด,"300,000,000",กรุงเทพมหานคร,เขตยานนาวา
106,อินเว (ประเทศไทย),"435,000,000",พิจิตร,วชิรบารมี
107,อิมพีเรียล นิวทริชั่น,"1,000,000",นครปฐม,สามพราน
108,อุตสาหกรรมปลาป่นกันตัง,"10,000,000",ตรัง,กันตัง
109,อุตสาหกรรมปลาป่นแปซิฟิค,"30,000,000",สงขลา,เมืองสงขลา
110,อโกรไทย,"3,000,000",นครปฐม,สามพราน
111,ฮันเตอร์ กรุ๊ป,"6,000,000",กรุงเทพมหานคร,เขตห้วยขวาง
112,เค.พี. อะกริเทค,"1,000,000",ลพบุรี,โคกเจริญ
113,เค.เอ็ม.พี.ไบโอเทค,"25,000,000",ชลบุรี,เมืองชลบุรี
114,เคทีเอส เพ็ทมาร์ท,"1,000,000",ปทุมธานี,เมืองปทุมธานี
115,เคลลี่ แอนด์ คอมพาเนี่ยน,"1,000,000",กรุงเทพมหานคร,เขตประเวศ
116,เจฟโฟ ไทย,"3,000,000",กรุงเทพมหานคร,เขตปทุมวัน
117,เจริญสินทรัพย์ฟู้ดส์,"1,000,000",ขอนแก่น,ชุมแพ
118,เจ้าพระยาโภคภัณฑ์,"1,000,000",กรุงเทพมหานคร,เขตหนองจอก
119,เจเจที เซอร์วิส,"2,000,000",ปทุมธานี,คลองหลวง
120,เจเอสวาย อินโนเวชั่น,"1,000,000",ปทุมธานี,คลองหลวง
121,เจเอสเจ เพ็ท โปรดักส์,"1,000,000",สมุทรปราการ,เมืองสมุทรปราการ
122,เซนทาโก อาหารสัตว์น้ำ,"20,000,000",ปทุมธานี,คลองหลวง
123,เทคโนโลยีอาหารสัตว์ภาคใต้,"1,000,000",พัทลุง,ควนขนุน
124,เนเจอร์ ฟีด แอนด์ ลีฟ,"1,000,000",กรุงเทพมหานคร,เขตบางกะปิ
125,เบนซ์ซี่ บาย หมาสวย,"1,000,000",ปทุมธานี,เมืองปทุมธานี
126,เบนโทลิ อะกรินิวทริชัน,"11,000,000",สมุทรปราการ,บางพลี
127,เพ็ท ทรีทส์,"20,000,000",สมุทรปราการ,เมืองสมุทรปราการ
128,เพ็ท พาร์ทเนอร์,"5,000,000",สมุทรปราการ,บางเสาธง
129,เพ็ท โฟกัส,"373,000,000",กรุงเทพมหานคร,เขตหลักสี่
130,เพ็ทชิคคลับ,"5,000,000",พระนครศรีอยุธยา,บางปะอิน
131,เพ็ททาเนียร์,"2,000,000",นครปฐม,สามพราน
132,เพ็ทสไมล์ บาย ด๊อกเตอร์ เพ็ท,"1,000,000",นนทบุรี,เมืองนนทบุรี
133,เพ็ทส์ ออนไลน์,"1,000,000",กรุงเทพมหานคร,เขตสะพานสูง
134,เพอร์เฟค คอมพาเนียน กรุ๊ป,"1,760,000,000",สมุทรปราการ,บางเสาธง
135,เพิร์ล อควา,"4,500,000",ชลบุรี,เมืองชลบุรี
136,เฟรช อเมนิตี้,"1,000,000",กรุงเทพมหานคร,เขตตลิ่งชัน
137,เฟรช แอนด์ เรียล ฟู๊ด,"1,000,000",กรุงเทพมหานคร,เขตหนองแขม
138,เมืองพลอาหารสัตว์ไทย,"50,000,000",พิษณุโลก,เมืองพิษณุโลก
139,เรกูลัส อินเตอร์เนชั่นแนล,"1,200,000",กรุงเทพมหานคร,เขตสาทร
140,เรนโบว์ เพ็ท,"1,000,000",นครปฐม,สามพราน
141,เลิศพัฒนาเพ็ท,"1,000,000",นครปฐม,เมืองนครปฐม
142,เวท ซุปพีเรีย คอนซัลแตนท์,"3,000,000",กรุงเทพมหานคร,เขตยานนาวา
143,เวท เดเวลลอปเปอร์,"1,000,000",นนทบุรี,บางบัวทอง
144,เวิลด์ สตาร์ แรบบิท แอนด์ฟูดซ์ เอ็นเตอร์ไพรซ์,"1,000,000",นครปฐม,เมืองนครปฐม
145,เอ.เจ แอนด์ อาร์ โฮลดิ้งส์,"65,454,600",สมุทรปราการ,เมืองสมุทรปราการ
146,เอ็น แอนด์พี เว็ท อินเตอร์เทรด,"3,000,000",ปทุมธานี,ธัญบุรี
147,เอนี่ กรุ๊ป เอ็นเตอร์ไพรส์,"1,000,000",นนทบุรี,บางกรวย
148,เอ็นเจ พลัส อินเตอร์เนชั่นแนล,"1,000,000",กรุงเทพมหานคร,เขตคลองสามวา
149,เอฟ เอฟ โปรดักส์,"2,000,000",ตาก,แม่สอด
150,เอ็ม เอ็ม เอ็ม ฟาร์ม กรุ๊ป,"1,000,000",เชียงใหม่,แม่ออน
151,เอ็มพี บิสซิเนส กรุ๊ป,"1,000,000",ปทุมธานี,เมืองปทุมธานี
152,เอ็มเอ็มเอช. เพ็ท แคร์,"1,000,000",นครปฐม,พุทธมณฑล
153,เอส.บี. มารีน โปรดักส์ (ป.น.2001),"48,133,330",ปัตตานี,เมืองปัตตานี
154,เอส.เอ็น.พี. เพ็ท แคร์,"1,000,000",กรุงเทพมหานคร,เขตปทุมวัน
155,เอส.เอ็น.พี.ไอโคนิค,"1,000,000",กรุงเทพมหานคร,เขตปทุมวัน
156,เอส.ไอ.พี.สยามอินเตอร์แปซิฟิค,"65,000,000",กรุงเทพมหานคร,เขตลาดกระบัง
157,เอสอาร์. ฟีดส์,"3,000,000",สระบุรี,มวกเหล็ก
158,เอสเอสเอส-ธานี-ฟูดส์,"20,000,000",สมุทรปราการ,พระสมุทรเจดีย์
159,เออร์นิส,"2,000,000",ภูเก็ต,เมืองภูเก็ต
160,เอเซี่ยน ฟู๊ดส์ เซ็นเตอร์,"1,000,000",สุพรรณบุรี,เมืองสุพรรณบุรี
161,เอเบิ้ลริช อินเตอร์เทรด,"1,000,000",กรุงเทพมหานคร,เขตสวนหลวง
162,แซนเทรด เอเชีย,"2,000,000",กรุงเทพมหานคร,เขตลาดพร้าว
163,แน่นแฟ้น,"5,000,000",ระนอง,เมืองระนอง
164,แป๊ะแชสงขลา,"165,000,000",สงขลา,เมืองสงขลา
165,แพทเทิร์น เพ็ท,"4,000,000",นครปฐม,สามพราน
166,แมกซ์ มาวิน,"1,000,000",ราชบุรี,บ้านโป่ง
167,แอ๊บโซลูท นูทริชั่น,"65,000,000",สมุทรสาคร,เมืองสมุทรสาคร
168,แอลพี ฟู้ดเวนเชอร์,"4,000,000",ตรัง,เมืองตรัง
169,โกลด์ ไบร์ท ซัพพลาย,"1,000,000",ฉะเชิงเทรา,แปลงยาว
170,โกลบอล เพ็ท โซลูชั่นส์,"5,000,000",ปทุมธานี,ลำลูกกา
171,โกวาอินดัสเตรียล,"3,500,000",กรุงเทพมหานคร,เขตประเวศ
172,โคอิ มาสเตอร์เพ็ท (ไทยแลนด์),"1,000,000",กรุงเทพมหานคร,เขตบางพลัด
173,โชคชัยการเกษตร 168,"1,000,000",แพร่,ร้องกวาง
174,โชคประเสริฐอาหารสัตว์,"1,000,000",ขอนแก่น,เขาสวนกวาง
175,โชควัลลภา,"10,000,000",พังงา,คุระบุรี
176,โชติโก,"1,000,000",นนทบุรี,ปากเกร็ด
177,โปร ไบโอเทค ฟีด,"40,000,000",สมุทรสาคร,เมืองสมุทรสาคร
178,โปวชิว,"1,000,000",สมุทรปราการ,พระสมุทรเจดีย์
179,โฟโน่ อโกรเทรด,"1,000,000",กรุงเทพมหานคร,เขตบึงกุ่ม
180,โภคา ฟีด,"2,000,000",นครปฐม,เมืองนครปฐม
181,โรงงานปลาป่นจิ๊บเฮงฮวด,"2,500,000",สมุทรปราการ,เมืองสมุทรปราการ
182,โรงงานปลาป่นภาคใต้(1969),"28,000,000",สงขลา,หาดใหญ่
183,โรงงานปลาป่นศรีนคร,"1,000,000",สงขลา,เมืองสงขลา
184,โรงงานปลาป่นเจริญกิจการระนอง,"2,000,000",ระนอง,เมืองระนอง
185,โรงปลาป่นสยาม,"8,000,000",ชุมพร,เมืองชุมพร
186,โอสแควร์ เพ็ทฟู้ด,"2,000,000",นนทบุรี,ปากเกร็ด
187,โอเชี่ยนคิสส์,"1,000,000",กรุงเทพมหานคร,เขตบางขุนเทียน
188,ไทย ออซัม,"120,000,000",นนทบุรี,ปากเกร็ด
189,ไทยฟอสเฟต แอนด์ เคมีคอล,"1,000,000",กรุงเทพมหานคร,เขตพระนคร
190,ไทยยูเนี่ยน ฟีดมิลล์,"1,000,000,000",สมุทรสาคร,เมืองสมุทรสาคร
191,ไทยสุพรีม อินเตอร์เนชั่นแนล,"2,000,000",กรุงเทพมหานคร,เขตสัมพันธวงศ์
192,ไทยเพ็ทสแน็ค,"1,000,000",สมุทรปราการ,เมืองสมุทรปราการ
193,ไพโรจน์อุตสาหกรรมปลาป่น 2003,"1,000,000",ตรัง,เมืองตรัง
